date,open,high,low,close,adjusted_close,volume
2021-03-25,2044.81,2058.87,2010.73,2044.36,102.1018,28378140
2021-03-26,2038.86,2050.99,2014.02,2035.55,101.6618,29876000
2021-03-29,2027.88,2058.43,2015.62,2055.95,102.6807,24595540
2021-03-30,2057.63,2070.78,2044.03,2055.54,102.6602,20735480
2021-03-31,2059.12,2093.327,2056.745,2068.63,103.3139,29198600
2021-04-01,2097.95,2142.94,2096.89,2137.75,106.766,33979560
2021-04-05,2152.94,2237.31,2151.62,2225.55,111.151,43297500
2021-04-06,2222.5,2237.66,2214.8,2224.75,111.1111,27060720
2021-04-07,2226.13,2255.0,2225.33,2249.68,112.3561,25797220
2021-04-08,2277.96,2284.005,2257.68,2265.44,113.1432,27165180
2021-04-09,2256.7,2289.04,2253.714,2285.88,114.1641,20887300
2021-04-12,2266.25,2275.32,2238.465,2254.79,112.6114,31317020
2021-04-13,2261.47,2277.21,2256.09,2267.27,113.2346,23316080
2021-04-14,2275.16,2277.99,2249.19,2254.84,112.6138,20219340
2021-04-15,2276.98,2306.596,2266.0,2296.66,114.7025,27472240
2021-04-16,2303.0,2306.44,2284.45,2297.76,114.7574,22601800
2021-04-19,2291.98,2318.45,2287.845,2302.4,114.9891,24688900
2021-04-20,2307.89,2309.6,2271.71,2293.63,114.5511,21774980
2021-04-21,2285.25,2295.32,2258.57,2293.29,114.5342,23934620
2021-04-22,2293.23,2303.762,2256.45,2267.92,113.2671,21096160
2021-04-23,2283.47,2325.82,2278.21,2315.3,115.6334,28703240
2021-04-26,2319.93,2341.26,2313.84,2326.74,116.2048,20833000
2021-04-27,2336.0,2337.45,2304.27,2307.12,115.2249,31971660
2021-04-28,2407.145,2452.378,2374.85,2379.91,118.8602,59728780
2021-04-29,2410.33,2436.52,2402.28,2429.89,121.3564,39553540
2021-04-30,2404.49,2427.14,2402.16,2410.12,120.369,39142600
2021-05-03,2402.72,2419.7,2384.5,2395.17,119.6224,33787780
2021-05-04,2369.74,2379.26,2311.7,2354.25,117.5787,35120300
2021-05-05,2368.42,2382.2,2351.41,2356.74,117.7031,21805500
2021-05-06,2350.64,2382.71,2342.338,2381.35,118.9322,20617180
2021-05-07,2400.0,2416.41,2390.0,2398.69,119.7982,23277840
2021-05-10,2374.89,2378.0,2334.73,2341.66,116.9499,26005420
2021-05-11,2291.86,2322.0,2283.0,2308.76,115.3068,32110960
2021-05-12,2261.71,2285.37,2230.05,2239.08,111.8267,34933280
2021-05-13,2261.09,2276.601,2242.72,2261.97,112.9699,26670160
2021-05-14,2291.83,2321.14,2283.32,2316.16,115.6764,26624960
2021-05-17,2309.32,2323.34,2295.0,2321.41,115.9386,19835840
2021-05-18,2336.906,2343.15,2303.16,2303.43,115.0406,17302380
2021-05-19,2264.4,2316.76,2263.52,2308.71,115.3043,19350880
2021-05-20,2328.04,2360.34,2321.09,2356.09,117.6706,23831860
2021-05-21,2365.99,2369.0,2342.37,2345.1,117.1217,22832640
2021-05-24,2367.0,2418.48,2360.11,2406.67,120.1967,21243780
2021-05-25,2420.0,2432.89,2402.99,2409.07,120.3166,18838560
2021-05-26,2412.835,2442.944,2412.515,2433.53,121.5382,21856380
2021-05-27,2436.94,2440.0,2402.0,2402.51,119.989,38962260
2021-05-28,2421.96,2428.14,2407.69,2411.56,120.4409,24107640
2021-06-01,2422.0,2437.971,2404.88,2429.81,121.3524,19165780
2021-06-02,2435.31,2442.0,2404.2,2421.28,120.9264,17162100
2021-06-03,2395.02,2409.745,2382.83,2404.61,120.0938,18345820
2021-06-04,2422.52,2453.859,2417.77,2451.76,122.4487,25948680
2021-06-07,2451.32,2468.0,2441.073,2466.09,123.1643,23849060
2021-06-08,2479.9,2494.495,2468.24,2482.85,124.0014,25065060
2021-06-09,2499.5,2505.0,2487.33,2491.4,124.4284,20126740
2021-06-10,2494.01,2523.26,2494.0,2521.6,125.9367,31234660
2021-06-11,2524.92,2526.99,2498.29,2513.93,125.5536,25246180
2021-06-14,2513.39,2528.23,2500.94,2527.04,126.2084,22550440
2021-06-15,2530.44,2537.24,2512.97,2520.66,125.8897,22182600
2021-06-16,2524.95,2530.47,2483.0,2513.93,125.5536,26316760
2021-06-17,2510.46,2543.93,2510.3,2527.42,126.2274,25755820
2021-06-18,2514.11,2527.78,2492.06,2511.35,125.4248,53306200
2021-06-21,2514.8,2540.735,2502.685,2529.1,126.3113,26256520
2021-06-22,2529.0,2545.4,2520.53,2539.99,126.8551,20986200
2021-06-23,2531.0,2555.92,2525.04,2529.23,126.3178,19693160
2021-06-24,2541.07,2550.71,2539.2,2545.64,127.1373,18933240
2021-06-25,2539.14,2550.1,2528.88,2539.9,126.8506,33485940
2021-06-28,2540.0,2546.74,2519.476,2536.39,126.6753,28110860
2021-06-29,2535.45,2540.0,2508.74,2520.37,125.8753,20949560
2021-06-30,2513.071,2516.0,2495.15,2506.32,125.1736,24009560
2021-07-01,2496.995,2529.25,2496.995,2527.37,126.2249,17124600
2021-07-02,2536.79,2576.96,2535.38,2574.38,128.5727,21165120
2021-07-06,2588.99,2597.69,2568.18,2595.42,129.6235,21350340
2021-07-07,2606.82,2612.798,2595.2,2601.55,129.9296,16683720
2021-07-08,2565.0,2600.65,2560.8,2583.54,129.0302,19779500
2021-07-09,2578.89,2596.99,2578.87,2591.49,129.4272,15109320
2021-07-12,2596.67,2615.4,2592.0,2611.28,130.4156,16950920
2021-07-13,2617.63,2640.84,2612.74,2619.89,130.8456,16617960
2021-07-14,2638.03,2659.92,2637.96,2641.65,131.9324,17918540
2021-07-15,2650.0,2651.9,2611.96,2625.33,131.1173,16586320
2021-07-16,2632.82,2643.66,2616.43,2636.91,131.6956,14861180
2021-07-19,2623.11,2624.94,2570.74,2585.08,129.1071,25709320
2021-07-20,2600.08,2640.027,2583.768,2622.03,130.9525,19083120
